'year','sc','subsidence_threshold','An Giang','Bạc Liêu','Bến Tre','Cần Thơ','Cà Mau','Đồng Tháp','Hậu Giang','Kiên Giang','Long An','Sóc Trăng','Tiền Giang','Trà Vinh','Vĩnh Long','Up stream zone','Coastal zone','Midle zone','total_benefit','total_benefit_5','total_benefit_34'
2037,'B2',0.1,15112.534249998373,36604.75770000168,34676.52499999746,9668.77600000072,74218.9265999979,15792.161499999655,12366.322499999973,54765.1197999937,21273.99059999661,28084.714899997616,22871.33174999885,26923.71974999872,14516.989750000383,44111.09574999261,185042.5571499898,134699.1036999878,366875.87010021886,995798.024818326,4227139.277080296
2038,'B2',0.1,15120.119249998368,36596.75210000168,34658.17799999746,9668.990000000726,74218.9265999979,15786.223749999654,12426.264499999977,54738.2582999937,22658.166849996494,28131.407299997623,22899.813249998842,26926.85774999872,14520.127750000383,44197.1419999926,186148.01464998964,134981.81524998765,368350.0854002245,1035891.9128198965,4426028.237533757
2039,'B2',0.1,14855.313249998406,26181.37335000045,30489.57549999796,9582.627750000724,53888.264549997715,15614.416999999712,12302.697749999967,49306.93159999395,21096.73149999664,24209.535449997882,22854.54624999886,26929.995749998718,14520.127750000383,43650.65324999268,146077.27959999882,129593.96659998728,321832.1374501089,1075956.5608214026,4578400.77628665
2040,'B2',0.1,14657.186249998222,34523.25795000271,30798.439549999905,8120.742650000558,69817.58455000127,14910.56024999896,10204.945750000721,50234.7641000009,21175.643899998166,23166.898550000158,21332.933649999388,21665.977799999782,12810.214349999987,42058.72359999256,171633.98724998452,116775.40475000243,333419.14929989015,1108577.289621084,4763681.902183704
2041,'B2',0.1,14266.749499998257,25159.709550001025,27133.24365000009,7950.843600000548,52162.35289999998,14293.664249998537,10123.758450000732,49086.498600000545,19754.69794999819,20577.260950000113,21317.522099999398,21670.352799999782,12810.214349999987,40661.93949999273,140681.7442999989,112344.82715000171,296306.86864974326,1138310.5684206751,4912770.651581462
2042,'B2',0.1,14484.840499998203,34529.72855000276,30812.60474999991,8028.324050000563,69874.3325500013,14156.693999998193,10220.053350000722,49378.05115000053,19884.41439999817,24063.043550000304,21345.424149999377,21672.541999999783,12810.214349999987,40650.84739999271,170955.0152499853,116668.7172500024,331260.2673498836,1166687.6960202095,5097103.650878482
2043,'B2',0.1,14152.92699999825,24817.380900000968,26808.94445000015,7924.5549500005545,50780.68684999988,13983.358999998145,10168.266250000723,43059.61004999893,19815.162899998195,20393.14935000014,21332.823299999385,21675.052399999782,12810.214349999987,39960.9934999928,133119.2354000031,112156.61555000175,287722.13174969505,1194598.153219742,5238073.719726132
2044,'B2',0.1,14175.319499998244,25102.390700001077,29023.735249999907,7914.513600000552,55148.44550000025,13972.01174999814,10132.339250000725,43876.37484999915,19859.88044999816,20309.572000000095,21320.431749999392,21675.052399999782,12810.214349999987,39862.0695499928,140332.75999999954,112368.47910000177,295320.2813497323,1222284.0472192806,5386752.168723612
2045,'B2',0.1,14487.703999998203,34500.827350002815,30813.709049999918,8029.434350000564,69879.06155000131,14122.223249998113,10215.256550000728,50005.358500000635,19861.263299998187,24048.060550000308,21340.205849999387,21675.052399999782,12810.214349999987,40643.147549992704,171615.39319998468,116537.21210000233,331788.371049886,1249987.7776188229,5571793.490670632
2046,'B2',0.1,14384.924999998215,31938.05765000232,27171.04635000013,7974.5083000005625,55628.05340000034,13969.602749998136,10177.80520000072,49961.21480000062,19926.57549999819,20408.430800000053,21306.363049999385,21675.052399999782,12810.214349999987,40374.755749992735,148170.0520999946,116185.31780000236,307331.84954980796,1277537.4132183637,5732459.364867758
2047,'B2',0.1,14181.113249998245,25095.38280000107,26883.149700000147,7904.074050000551,50973.36169999991,13927.616749998142,10157.02620000073,42719.778049998866,19853.940149998183,20225.4186000001,21321.73874999939,21675.052399999782,12810.214349999987,39854.72239999278,132961.2143000032,112405.85050000172,287727.86674969463,1305116.2888179112,5873423.889115364
2048,'B2',0.1,14216.789999998247,24661.633700000973,26921.642650000136,7947.088700000555,51105.04594999992,13898.030249998148,10179.472950000727,44910.512949999575,19875.3714999982,20374.03740000007,21300.859399999383,21677.56279999978,12810.214349999987,40130.94564999274,135076.47920000314,112221.59035000174,289878.2625997005,1332638.7312174602,6016546.648913101
2049,'B2',0.1,14458.592249998203,34320.460550002885,30818.584099999935,7987.154850000562,64963.77365000058,14010.384249998126,10161.470550000724,44837.00384999954,19775.254749998203,24007.250550000277,21322.592049999395,21680.073199999784,12810.214349999987,40406.19714999274,161782.04509999245,116075.90975000236,321152.80894983077,1360041.2896170157,6190995.012560324
2050,'B2',0.1,14484.172049998699,34733.916550002796,28559.95205000109,7663.350800000535,66767.89535000367,13280.371999997984,10258.385900001427,47295.68515000543,19864.400850000682,23157.909250001616,19253.585700000174,21635.71639999977,11622.542200000133,39496.69334999723,163284.23649997756,112850.07915000444,318577.8842497816,1387440.9240159858,6368594.095153168
2051,'B2',0.1,14345.706549998657,34732.6317500028,28559.309650001094,7664.627000000534,66777.35335000367,13175.741099997924,10247.904700001422,47261.268250005436,19858.21775000068,23152.770050001618,19247.22090000018,21635.71639999977,11622.542200000133,39228.617349997396,163293.69449997757,112811.82255000438,318281.0096497814,1413820.3748149269,6546207.039246012
