'year','subsidence_threshold','An Giang','Bạc Liêu','Bến Tre','Cần Thơ','Cà Mau','Đồng Tháp','Hậu Giang','Kiên Giang','Long An','Sóc Trăng','Tiền Giang','Trà Vinh','Vĩnh Long','Up stream zone','Coastal zone','Midle zone','total_benefit','total_benefit_5','total_benefit_34'
2020,'M1',1.0,15516.656499998331,29645.794249998264,30211.7607499979,9728.49975000073,55111.44774999632,15914.221499999721,12259.94974999999,44194.3442499959,21877.28024999651,20399.10849999797,22793.24549999898,26679.827249998714,14500.154250000376,45599.04074999242,140166.5582499911,130466.35349998652,318832.2902500436,281334.12199991423,936677.0010034014
2020,'M1',0.5,15537.238999998333,29866.655999998264,30234.968249997906,9736.40100000074,55824.51399999628,15910.440499999737,12255.961249999988,44243.72724999586,21853.681249996527,20126.296249997977,22741.07849999899,26704.579749998706,14471.720000000369,45618.922749992416,141056.87199999104,130141.03074998647,319507.2630000428,281304.88199991424,937966.1205034121
2020,'M1',0.1,15482.415999998326,29697.309249998292,30364.63949999785,9763.652500000748,54810.64124999635,15915.125999999738,12238.422499999988,44537.706749995945,21881.884249996507,20408.540249997983,22848.419499998952,26675.159749998722,14474.87925000037,45588.67374999242,140679.76249999105,130216.16124998647,319098.79675004387,281313.65399991424,937009.6770034041
2020,'M1',0.2,15332.393999998354,29735.729749998267,30471.747749997845,9740.543500000736,55179.44424999632,15890.752749999738,12331.044249999992,44454.59499999587,21909.1464999965,20326.314249997962,22807.174749998972,26714.549749998707,14441.178500000367,45411.97174999245,140694.28074999107,130558.71724998647,319334.6150000434,281258.09799991426,937584.9292534089
2021,'M1',0.1,15682.755749998327,30055.03649999825,34105.906749997404,9855.169750000758,55975.07474999628,16134.492749999636,12334.877999999984,42245.60949999557,22052.787249996487,21519.498749997903,22850.23549999896,26752.76674999872,14474.87925000037,46157.44224999234,143910.7567499909,131072.53224998634,324039.09125004365,325077.1619999003,1076934.5887545699
2021,'M1',1.0,15755.523999998295,29979.101749998237,34112.57974999741,9836.961500000762,55367.95299999633,16099.527749999643,12326.880749999986,42054.376999995526,22026.687499996497,21631.7634999979,22789.761499998986,26752.29949999871,14503.292250000377,46188.247249992346,143259.03824999093,130911.85649998646,323236.70975004346,325122.4839999003,1075777.1535045602
2021,'M1',0.2,15706.951499998308,29648.124999998276,34136.93574999741,9847.54325000076,55193.807499996336,16108.23374999965,12323.058499999985,41795.87249999548,22110.987749996468,21797.114999997888,22797.32199999898,26789.7584999987,14443.576750000368,46125.470999992365,142941.51799999096,130706.21574998644,322699.2877500433,324979.20799990033,1076165.2755045635
2021,'M1',0.5,15790.65899999829,29786.76274999825,34097.73174999741,9805.664000000756,55025.813999996346,16134.005749999642,12328.063249999974,41911.25024999551,22174.031249996482,21577.416749997912,22788.65099999898,26779.788499998704,14477.99600000037,46215.29124999234,142600.83549999096,130935.62449998637,322677.834250043,325091.7819999003,1076442.5055045658
2022,'M1',0.2,15918.001249998242,41592.78099999728,34202.61924999741,9932.339250000756,76889.95874999448,16101.408249999646,12393.904249999969,47160.799249995616,23202.492249996387,24306.989749997712,22792.79124999899,26836.5234999987,14446.714750000368,46501.529999992286,180213.99424999463,136038.68499998594,365777.32275005104,369187.16399988625,1257688.5487560758
2022,'M1',0.1,15964.125499998236,41621.859499997285,34174.459499997414,9931.604250000759,76830.00549999448,16130.591249999628,12337.639249999984,47131.212999995616,23170.319999996405,24405.80649999772,22849.662249998964,26805.067999998715,14478.01725000037,46567.42924999228,180153.6027499946,136086.22624998592,365830.3717500512,369365.5279998862,1258478.6542560824
2022,'M1',1.0,16033.657999998211,41644.37274999728,34179.451999997415,9930.529500000754,76814.16299999449,16093.103749999636,12318.445249999979,47147.35499999561,23194.878749996395,24344.90324999772,22838.410749998973,26795.92649999871,14506.430250000378,46633.73624999226,180236.37299999464,135948.405999986,365841.62875005114,369464.94399988616,1257314.2882560727
2022,'M1',0.5,16024.308499998217,41720.513999997274,34161.18974999742,9876.776250000752,76876.60724999447,16128.642249999637,12369.93324999997,47018.03474999562,23228.862999996392,24361.631499997708,22798.490249998984,26832.8294999987,14481.13400000037,46593.78399999226,180136.8827499946,136125.1739999859,365878.95425005065,369368.4519998862,1258007.3632560784
2023,'M1',0.5,16259.48324999814,41850.23024999731,34188.62324999743,9876.990250000752,77068.32224999447,16126.490749999635,12556.674499999968,48373.94399999519,23283.825499996394,24350.6314999977,22819.000499998976,26874.8292499987,14486.67025000037,47479.94199999198,180802.3199999951,136810.3399999858,368115.71550005145,414744.54599987174,1440999.955507603
2023,'M1',0.1,16215.676999998163,41731.10774999733,34221.193749997416,9936.204250000757,77021.72049999448,16125.11424999963,12543.146499999986,48478.39374999518,23225.879249996404,24398.3324999977,22882.72349999895,26847.469249998718,14483.553500000371,47418.34799999199,180810.5429999951,136858.51124998578,368110.5157500517,414769.39999987173,1441464.3157576069
2023,'M1',1.0,16272.736499998135,41770.361999997316,34205.13999999743,9930.003750000755,77014.18274999448,16088.429749999636,12520.412999999988,48460.272999995184,23261.371999996387,24451.866749997716,22859.269499998965,26834.78824999871,14506.430250000378,47461.71274999199,180933.3267499951,136757.11449998582,368175.2675000518,415023.78799987165,1440286.088257597
2023,'M1',0.2,16218.119499998149,41723.30024999732,34273.00524999741,9935.263250000757,77076.90849999448,16098.196249999644,12567.461499999981,48513.906249995176,23216.1394999964,24278.79024999771,22805.225249998985,26875.3852499987,14446.714750000368,47410.332999991995,180871.4039999951,136723.5652499858,368028.4157500517,414526.7079998718,1440646.4872576
