'year','subsidence_threshold','An Giang','Bạc Liêu','Bến Tre','Cần Thơ','Cà Mau','Đồng Tháp','Hậu Giang','Kiên Giang','Long An','Sóc Trăng','Tiền Giang','Trà Vinh','Vĩnh Long','Up stream zone','Coastal zone','Midle zone','total_benefit','total_benefit_5','total_benefit_34'
2025,'M1',1.0,15534.434749998236,42597.20974999718,34511.764749997375,9886.695500000746,77359.64199999446,15824.214999999656,12630.891999999958,49013.474249994884,22751.39074999641,24455.30474999748,22827.823499998878,26974.329749998702,14442.653750000374,45798.717999992245,181960.91349999528,138027.08549998555,368809.83050004975,495291.9739998461,1811164.382260687
2026,'M1',1.0,15613.077249998203,42572.99824999722,34434.53349999741,9891.081500000746,77469.24274999446,15822.545749999657,12613.819499999987,49243.32174999477,22822.513249996402,24755.1867499975,22845.035999998865,26977.4677499987,14442.653750000374,45904.166499992265,182389.78599999528,138186.4117499856,369503.4777500509,539514.5500004382,1997504.5267622394
2026,'M1',0.1,15634.371749998203,42607.643749997216,34423.00749999741,9896.369250000746,77354.33699999447,15817.804749999661,12541.938249999981,49416.87199999477,22773.263749996426,24733.153999997503,22873.193749998853,26878.30324999873,14507.31550000038,45834.65024999229,182560.32674999535,138039.4839999856,369457.57450005115,539872.7400004524,1997851.0642622423
2026,'M1',0.5,15657.977999998206,42660.26724999721,34458.916249997405,9864.821750000749,77322.76099999447,15814.361249999649,12638.71574999998,49377.606249994766,22818.786999996402,24671.364999997502,22855.014999998857,26927.624499998707,14446.45350000038,45881.453999992256,182510.24824999532,138099.85674998557,369514.672500051,539587.6500004411,1998835.2307622505
2026,'M1',0.2,15634.473999998207,42629.615999997215,34410.80524999741,9886.595250000746,77341.57224999447,15823.218749999658,12643.79424999997,49336.837499994785,22832.9474999964,24680.825499997496,22815.141249998876,26932.434249998714,14449.207000000371,45845.29249999227,182619.82674999532,137929.23599998566,369417.4687500509,539613.9660004422,1998370.8705122466
2027,'M1',0.1,15077.960499998377,42459.1844999973,34415.80499999741,9802.801250000743,77454.40724999447,15667.853249999709,12298.995499999986,48499.94499999491,21462.054999996544,24444.127249997473,22808.82124999888,26886.05874999873,14510.453500000382,44254.03974999269,181997.66199999585,136520.58349998613,365788.46800004883,581409.6220020929,2183331.7957608923
2027,'M1',0.2,15060.946749998391,42561.42274999728,34466.8557499974,9801.799250000751,77441.64249999447,15615.169749999728,12381.952249999966,48498.19949999491,21641.023499996514,24415.234249997473,22798.734999998876,26940.59124999871,14452.345000000372,44222.67174999265,182109.30474999582,136720.82749998602,366075.91750004794,581392.0780020922,2183900.117260878
2027,'M1',1.0,15030.74499999839,42480.09499999729,34432.711749997405,9796.265500000753,77572.85249999446,15635.609749999727,12329.388499999972,48321.34974999491,21672.523999996516,24451.32599999749,22841.84374999887,26982.0852499987,14448.190000000373,44228.144749992665,181969.2757499958,136774.45274998606,365994.98675004794,581067.5140020794,2183137.7347608972
2027,'M1',0.5,15097.36349999838,42544.63099999729,34452.93799999741,9765.405750000746,77422.83124999447,15678.740249999702,12403.29699999998,48446.86224999492,21596.900749996526,24366.443749997477,22845.47624999886,26929.103999998708,14446.45350000038,44221.13299999266,181984.40274999585,136774.72874998598,365996.44725004805,581231.2580020858,2184433.7850108645
2028,'M1',0.1,15132.412749998355,30681.756499998126,34465.8577499974,9821.807250000747,56496.69349999627,15797.868249999658,12255.280999999979,44472.18849999502,21585.309999996538,21715.944749997667,22844.612749998865,26893.074499998726,14513.591500000382,44393.79699999267,147234.8512499906,132142.45999998643,326676.3990000421,622983.0540037348,2329778.5432571927
