climat_code,Nam,thang,tmax_avg,tmax_max,pre_min
1,2050,12,31.03,33.93,0.6
2,2016,1,31.22,34.94,0
2,2016,2,32.01,34.03,0
2,2016,3,33.65,35.84,0
2,2016,4,34.5,39.65,1.5
2,2016,5,33.9,38.68,30.3
2,2016,6,32.42,35.48,12.6
2,2016,7,31.91,36.08,0
2,2016,8,31.26,35.19,21.3
2,2016,9,31.09,34.08,89.1
2,2016,10,31.3,34.76,14.7
2,2016,11,31.48,33.76,18.3
2,2016,12,30.95,33.84,0
2,2017,1,31.35,34.81,0
2,2017,2,32.3,35.78,0
2,2017,3,33.85,37.18,0
2,2017,4,34.59,41.04,0.9
2,2017,5,34.25,40.27,0
2,2017,6,32.71,36.79,10.8
2,2017,7,31.83,34.75,49.8
2,2017,8,31.26,33.98,40.2
2,2017,9,31.39,32.93,42.6
2,2017,10,31.64,35.18,21.6
2,2017,11,31.52,33.95,7.5
2,2017,12,31.07,35.63,0
2,2018,1,31.27,36.04,0
2,2018,2,32.41,36.77,0
2,2018,3,33.74,37.2,0
2,2018,4,35,39.99,0.3
2,2018,5,34.1,39.02,35.1
2,2018,6,32.59,34.4,14.4
2,2018,7,31.96,34.47,64.8
2,2018,8,31.62,34.72,36.9
2,2018,9,31.06,33.67,87.3
2,2018,10,31.57,33.73,0
2,2018,11,31.45,33.85,42.3
2,2018,12,30.9,35.5,0
2,2019,1,31.31,33.22,0
2,2019,2,32.44,34.3,0
2,2019,3,34.18,36.28,0
2,2019,4,35.07,40.21,0
2,2019,5,34.15,40.54,0
2,2019,6,32.72,35.18,0
2,2019,7,31.81,34.25,30.3
2,2019,8,31.47,33.37,60.9
2,2019,9,31.37,33.88,0
2,2019,10,31.55,35.32,178.2
2,2019,11,31.57,35.12,11.1
2,2019,12,30.49,33.68,0
2,2020,1,31.1,34.86,0
2,2020,2,32.33,35.82,0
2,2020,3,33.66,37.05,0
2,2020,4,34.87,39.85,0
2,2020,5,33.83,38.75,46.2
2,2020,6,32.63,36.2,24.6
2,2020,7,31.61,32.92,39.6
2,2020,8,31.71,34.11,32.4
2,2020,9,31.42,33.2,41.1
2,2020,10,31.25,33.46,144
2,2020,11,31.35,33.31,11.1
2,2020,12,30.78,33.02,3.3
2,2021,1,31.2,35.1,0
2,2021,2,32.24,37.31,0
