climat_code,Nam,thang,tmax_avg,tmax_max,ttb,pre_min
1,2044,5,34.15033333,36.86,29.04,30.3
1,2044,6,33.10833333,35.07,28.72,53.4
1,2044,7,32.483,34.04,29.01,43.8
1,2044,8,32.10733333,33.95,28.3,110.1
1,2044,9,32.09166667,33.52,28.57,82.5
1,2044,10,32.18266667,33.3,28.43,0
1,2044,11,31.66,34.32,29.33,13.8
1,2044,12,31.16166667,33.31,26.36,0
1,2045,1,31.72633333,33.13,27.76,0
1,2045,2,32.80866667,34.51,26.83,0
1,2045,3,33.84666667,35.56,28.45,0
1,2045,4,34.84566667,36.53,29.85,0
1,2045,5,34.11666667,35.8,30.11,0
1,2045,6,32.90466667,34.93,28.89,42.3
1,2045,7,32.24133333,33.47,28.29,53.4
1,2045,8,32.007,33.47,28.59,0
1,2045,9,31.94333333,33.03,28.23,92.7
1,2045,10,32.005,33.59,28.46,0
1,2045,11,31.81166667,33.54,29.02,17.7
1,2045,12,31.031,33.41,27.13,0
1,2046,1,31.22166667,33.25,28.29,0
1,2046,2,32.28766667,33.7,28,0
1,2046,3,33.85666667,35.22,28.05,0
1,2046,4,35.072,36.85,30.43,0
1,2046,5,34.405,36.22,30.42,0
1,2046,6,32.98933333,35.61,30.22,0
1,2046,7,32.12166667,33.59,28.52,52.2
1,2046,8,31.80866667,33.62,28.32,0
1,2046,9,31.992,33.42,28.47,0
1,2046,10,32.05533333,33.8,28.83,64.2
1,2046,11,32.114,34.02,27.86,24.9
1,2046,12,31.11966667,34.28,26.67,0
1,2047,1,31.567,32.91,26.96,0
1,2047,2,32.36333333,33.8,28.15,0
1,2047,3,34.10166667,35.56,28.97,0
1,2047,4,35.325,36.9,30.48,0
1,2047,5,34.19733333,36.53,29.98,0
1,2047,6,33.24,35.35,29.28,0
1,2047,7,32.42833333,34.71,29.34,48.9
1,2047,8,32.031,33.43,28.39,81.9
1,2047,9,31.96266667,33.32,28.98,117.3
1,2047,10,32.09733333,33.3,29.18,87.9
1,2047,11,32.02133333,33.63,28.16,17.7
1,2047,12,30.87066667,33.05,28.37,0
1,2048,1,31.44333333,33.06,28.49,0
1,2048,2,32.75633333,34.62,29.23,0
1,2048,3,33.98466667,35.3,29.15,0
1,2048,4,34.898,36.5,30.72,0
1,2048,5,34.501,37.6,32.36,0
1,2048,6,33.27966667,35.08,30,0
1,2048,7,32.30666667,33.73,29.35,0
1,2048,8,32.35033333,34.02,28.5,78.9
1,2048,9,32.22466667,33.4,29.22,86.4
1,2048,10,32.02633333,33.48,29.51,62.4
1,2048,11,32.16933333,33.56,28.94,0
1,2048,12,30.92,33.21,27.09,0
1,2049,1,31.49166667,33.59,27.21,0
1,2049,2,32.43333333,34.26,26.9,0
1,2049,3,34.09933333,35.96,28.58,0
1,2049,4,35.035,36.86,30.13,0
1,2049,5,34.42133333,37.88,30.34,0
1,2049,6,33.204,36.34,28.86,53.7
1,2049,7,32.69366667,34.55,29.6,39.9
1,2049,8,32.18,34.22,29.6,101.1
1,2049,9,32.057,33.31,28.53,91.5
1,2049,10,32.15233333,33.58,28.35,92.4
1,2049,11,31.85733333,33.47,27.9,18.9
1,2049,12,31.19033333,33.66,26.33,0
1,2050,1,31.45233333,34.22,27.6,0
1,2050,2,32.417,34.82,26.92,0
1,2050,3,34.18633333,35.64,29.43,0
1,2050,4,35.34966667,37.03,30.05,0
1,2050,5,34.77866667,37.12,29.47,0
1,2050,6,33.32233333,37.71,29.19,0
1,2050,7,32.54266667,34.05,29.12,0
1,2050,8,32.31133333,34.49,29.35,0
1,2050,9,32.259,33.36,29.14,71.7
1,2050,10,32.33966667,33.84,29.21,0
1,2050,11,32.18766667,34.23,29.38,5.7
1,2050,12,31.479,32.97,28.85,0
2,2016,1,31.57966667,34.34,24.83,0
2,2016,2,32.89733333,34.49,26.2,0
2,2016,3,34.29233333,36.18,28.19,0
2,2016,4,35.38866667,37.23,28.96,0.3
2,2016,5,33.894,35.82,28.54,0
2,2016,6,32.347,35.39,28.4,45.9
2,2016,7,31.55633333,33.01,27.47,0
2,2016,8,31.35366667,33.31,27.26,0
2,2016,9,31.37066667,33.13,27.55,0
2,2016,10,31.65433333,32.98,27.89,0
2,2016,11,31.58066667,32.83,26.09,32.1
2,2016,12,30.845,32.57,27.64,0
2,2017,1,31.60533333,34.24,25.88,0
2,2017,2,32.782,34.62,26.05,0
2,2017,3,34.43033333,36.64,27.93,0
2,2017,4,34.87533333,36.84,29.87,0
2,2017,5,33.96433333,36.48,30.54,0
2,2017,6,31.98866667,34.02,28.97,0
2,2017,7,31.722,33.47,27.51,24
2,2017,8,31.496,33.33,28.35,0
2,2017,9,31.47266667,32.55,27.88,103.8
2,2017,10,31.52833333,32.54,27.91,92.4
2,2017,11,31.53433333,32.76,26.26,15.6
2,2017,12,30.76666667,33.04,25.67,0
2,2018,1,31.51933333,33.76,26.87,0
2,2018,2,32.70066667,34.26,28.44,0
2,2018,3,34.278,35.61,27.93,0
2,2018,4,34.98766667,36.69,30.35,0.6
2,2018,5,33.968,36.39,28.5,21.3
2,2018,6,32.38466667,34.57,27.69,0
2,2018,7,31.80833333,33.85,27.62,27.9
2,2018,8,31.35833333,33.39,27.81,54
2,2018,9,31.465,33.28,28.46,0
2,2018,10,31.71866667,33.03,27.06,39.3
2,2018,11,31.45333333,33.11,27.13,29.7
2,2018,12,30.83466667,34.23,25.03,0
2,2019,1,31.56,33.79,26.34,0
2,2019,2,32.86533333,34.73,27.15,0
2,2019,3,34.41666667,36.66,28.01,0
2,2019,4,34.96666667,36.7,29.22,0
2,2019,5,33.55233333,35.48,29.28,33.3
2,2019,6,32.39866667,33.63,28.7,49.8
2,2019,7,31.98033333,33.69,28.09,20.7
2,2019,8,31.15233333,33.17,26.93,31.8
2,2019,9,31.29766667,32.46,27.46,65.4
2,2019,10,31.708,33.16,26.84,32.1
2,2019,11,31.451,32.95,27.2,5.4
2,2019,12,31.01133333,33.39,24.94,0.3
2,2020,1,31.43133333,33.95,25.18,0
2,2020,2,32.57266667,34.22,26.19,0
2,2020,3,34.08833333,35.53,28.34,0
2,2020,4,34.84233333,36.87,28.55,1.5
2,2020,5,33.79366667,36.43,28.84,0
2,2020,6,32.23866667,34.27,28.93,0
2,2020,7,31.64833333,33.68,28.67,33.3
2,2020,8,31.22466667,32.67,27.22,0
2,2020,9,31.48766667,32.55,26.9,0
2,2020,10,31.78366667,33.24,27.73,76.8
2,2020,11,31.68433333,32.81,28,12.6
2,2020,12,31.156,33.99,27.8,0
2,2021,1,31.67133333,33.42,26.56,0
2,2021,2,32.993,34.84,28.41,0
2,2021,3,34.45366667,36.47,28.54,0
2,2021,4,35.31666667,37.03,30.12,0
2,2021,5,34.00333333,37.07,29.48,39.6
2,2021,6,32.58733333,34.57,29,42
2,2021,7,32.10166667,34.04,29.43,0
2,2021,8,31.62366667,33.84,27.5,0
2,2021,9,31.32133333,32.49,27.94,0
2,2021,10,31.733,33.02,28.15,0
2,2021,11,31.46566667,32.84,26.95,65.7
2,2021,12,31.146,33.41,25.64,0
2,2022,1,32.09633333,34.41,24.55,0
2,2022,2,32.946,34.44,27.47,0
2,2022,3,34.52366667,36.63,27.47,0
2,2022,4,35.232,36.96,29.28,0.6
2,2022,5,34.23,36.68,29.5,0
2,2022,6,32.50566667,34.53,28.65,35.1
2,2022,7,32.09066667,34.51,27.52,0
2,2022,8,31.565,32.84,27.77,33.3
2,2022,9,31.495,33.05,28.14,37.5
2,2022,10,31.563,32.89,28.57,73.8
2,2022,11,31.707,32.81,28.34,0
2,2022,12,30.96533333,32.48,26.27,0
2,2023,1,31.609,33.79,25.24,0
2,2023,2,33.04333333,34.73,27.53,0
2,2023,3,34.56133333,37.11,28.88,0
2,2023,4,34.82966667,36.86,30.28,0.3
2,2023,5,33.743,36.95,29.64,0
2,2023,6,32.58266667,34.63,28.81,0
2,2023,7,31.89466667,34.19,27.7,18.6
2,2023,8,31.439,33.01,28.04,27.9
2,2023,9,31.65,32.93,27.81,95.4
2,2023,10,31.75233333,33.03,27.26,29.1
